endpoint;asn;holder
209.85.254.198;15169;GOOGLE - Google LLC
64.233.174.122;15169;GOOGLE - Google LLC
209.85.240.224;15169;GOOGLE - Google LLC
74.125.37.93;15169;GOOGLE - Google LLC
209.85.143.24;15169;GOOGLE - Google LLC
216.239.57.144;15169;GOOGLE - Google LLC
72.14.234.169;15169;GOOGLE - Google LLC
216.239.59.135;15169;GOOGLE - Google LLC
2001:4860::8:0:67ec;15169;GOOGLE - Google LLC
2001:4860::8:0:6401;15169;GOOGLE - Google LLC
216.239.56.1;15169;GOOGLE - Google LLC
64.233.175.24;15169;GOOGLE - Google LLC
209.85.143.168;15169;GOOGLE - Google LLC
216.239.42.9;15169;GOOGLE - Google LLC
209.85.226.142;15169;GOOGLE - Google LLC
137.138.32.129;513;CERN - CERN - European Organization for Nuclear Research
192.65.196.37;513;CERN - CERN - European Organization for Nuclear Research
192.65.184.177;513;CERN - CERN - European Organization for Nuclear Research
192.65.184.169;513;CERN - CERN - European Organization for Nuclear Research
192.65.184.58;513;CERN - CERN - European Organization for Nuclear Research
2001:1458:0:28::1;513;CERN - CERN - European Organization for Nuclear Research
2001:1700:4800::11;6730;SUNRISE - Sunrise Communications AG
2001:1700:4800::12;6730;SUNRISE - Sunrise Communications AG
2001:ac0::128:1;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
2001:ac0:c00:0:21e:49ff:fe4e:fc1b;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
2a00:2000:207e:1::4;5400;BT - British Telecommunications plc
2a00:2000:7e::64;5400;BT - British Telecommunications plc
2001:7f8:f::23;6895;ESPANIX - ASOCIACION ESPANIX
2001:4860::1:0:7edb;15169;GOOGLE - Google LLC
2001:4860::8:0:5e19;15169;GOOGLE - Google LLC
2001:4860::8:0:6e84;15169;GOOGLE - Google LLC
2001:4860::8:0:87b8;15169;GOOGLE - Google LLC
2001:4860::1:0:87aa;15169;GOOGLE - Google LLC
2001:4860::3:0:87ac;15169;GOOGLE - Google LLC
2001:4860:0:1::145f;15169;GOOGLE - Google LLC
2001:4860:0:1::a1f;15169;GOOGLE - Google LLC
2a00:1450:401c:b::b;15169;GOOGLE - Google LLC
212.49.128.145;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.128.229;12541;BTESPANA - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.128.229;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.129.78;12541;BTESPANA - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.129.78;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.129.5;12541;BTESPANA - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
212.49.129.5;8903;AS8903 - BT ESPANA, COMPANIA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, SA
193.149.1.94;6895;ESPANIX - ASOCIACION ESPANIX
2001:4860::8:0:507b;15169;GOOGLE - Google LLC
2001:4860::8:0:87b7;15169;GOOGLE - Google LLC
2001:4860::3:0:87b4;15169;GOOGLE - Google LLC
2001:4860:0:1::14a6;15169;GOOGLE - Google LLC
2001:4860:0:1::a1d;15169;GOOGLE - Google LLC
218.223.42.17;18070;NDAC Global Network Core Co.
218.223.42.22;18070;NDAC Global Network Core Co.
218.223.36.93;18070;NDAC Global Network Core Co.
218.223.33.89;18070;NDAC Global Network Core Co.
210.171.224.96;7527;JPIX Japan Internet Exchange Co.
216.239.48.51;15169;GOOGLE - Google LLC
209.85.143.49;15169;GOOGLE - Google LLC
173.194.51.151;15169;GOOGLE - Google LLC
2400:e000:101::1;18070;NDAC Global Network Core Co.
2400:e000:5:101::2;18070;NDAC Global Network Core Co.
2400:e000:0:59::5;18070;NDAC Global Network Core Co.
2400:e000:0:513::13;18070;NDAC Global Network Core Co.
2001:4860::1:0:ac8b;15169;GOOGLE - Google LLC
2001:4860::1:0:9799;15169;GOOGLE - Google LLC
