ip;hostname
90.223.244.76;host76-rangeA-google-ggc.cdn.enbgk.isp.sky.com
2.127.244.140;host13-rangeA-google.cdn.enlcs.isp.sky.com
90.201.124.204;host204-gcc.enyrk.isp.sky.com
64.15.119.97;cache.google.com
64.15.120.33;cache.google.com
178.74.30.12;cache.google.com
90.223.244.79;host79-rangeA-google-ggc.cdn.enbgk.isp.sky.com
2.127.244.141;host14-rangeA-google.cdn.enlcs.isp.sky.com
90.201.124.207;host207-gcc.enyrk.isp.sky.com
2.127.244.142;host15-rangeA-google.cdn.enlcs.isp.sky.com
90.223.205.207;host207-gcc.encax.isp.sky.com
90.201.124.19;range2-ggc.enyrk.skybroadband.com
90.223.244.83;host83-rangeA-google-ggc.cdn.enbgk.isp.sky.com
64.15.120.96;cache.google.com
2.127.244.143;host16-rangeA-google.cdn.enlcs.isp.sky.com
194.78.0.142;142.0-78-194.cache.googlevideo.com
90.223.244.77;host77-rangeA-google-ggc.cdn.enbgk.isp.sky.com
194.78.0.205;205.0-78-194.cache.googlevideo.com
90.223.244.82;host82-rangeA-google-ggc.cdn.enbgk.isp.sky.com
90.201.124.18;range2-ggc.enyrk.skybroadband.com
64.15.120.31;cache.google.com
90.223.244.80;host80-rangeA-google-ggc.cdn.enbgk.isp.sky.com
2.127.252.206;host206-rangeB-google-ggc.cdn.thlon.isp.sky.com
90.223.244.78;host78-rangeA-google-ggc.cdn.enbgk.isp.sky.com
62.4.252.13;free31757.powered-by.skynet.be
2.127.251.141;host141-rangeB-google-ggc.cdn.hobir.isp.sky.com
193.212.4.112;cache.google.com
80.228.66.140;ewe-hb-GGC-Node4-140.cache.google.com
64.15.113.173;cache.google.com
2.127.252.208;host208-rangeB-google-ggc.cdn.thlon.isp.sky.com
90.223.244.81;host81-rangeA-google-ggc.cdn.enbgk.isp.sky.com
62.4.252.15;free31759.powered-by.skynet.be
92.87.11.12;cache.google.com
193.212.4.113;cache.google.com
64.15.120.99;cache.google.com
