ip;asn;holder
195.95.178.205;39107;INTERLAN-AS - Asociatia Interlan
2001:b30:ef00:99ca::d;2614;ROEDUNET - Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
92.197.129.141;20676;QSC-1 - QSC AG
2001:1a80:100:1b::d;20676;QSC-1 - QSC AG
173.194.18.14;15169;GOOGLE - Google LLC
2a00:1450:400a:6::e;15169;GOOGLE - Google LLC
173.194.18.203;15169;GOOGLE - Google LLC
74.125.100.155;15169;GOOGLE - Google LLC
2001:1700:4700::12;6730;SUNRISE - Sunrise Communications AG
2a00:1450:401c:a::e;15169;GOOGLE - Google LLC
173.194.51.155;15169;GOOGLE - Google LLC
2404:6800:400a:f::b;15169;GOOGLE - Google LLC
2a00:1450:401c:15::b;15169;GOOGLE - Google LLC
173.194.153.142;15169;GOOGLE - Google LLC
111.168.255.210;2518;BIGLOBE BIGLOBE Inc.
82.94.234.16;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:2000:7d::10;3265;XS4ALL-NL - Xs4all Internet BV
2001:a88:1:1c::d;8426;CLARANET-AS - ClaraNET LTD
213.253.9.205;8426;CLARANET-AS - ClaraNET LTD
74.125.14.14;15169;GOOGLE - Google LLC
173.194.151.107;15169;GOOGLE - Google LLC
2a00:1450:400f:b::a;15169;GOOGLE - Google LLC
74.125.154.234;15169;GOOGLE - Google LLC
62.231.75.210;8708;RCS-RDS - RCS & RDS SA
86.127.118.146;8708;RCS-RDS - RCS & RDS SA
74.125.165.142;15169;GOOGLE - Google LLC
2001:1291:0:122::10;16735;ALGAR TELECOM S/A
2001:2030:10:2::12;1299;TELIANET - Telia Company AB
80.239.229.242;1299;TELIANET - Telia Company AB
2001:7f8:23:50::d;25309;TOPIX-AS - CONSORZIO TOP IX - TORINO E PIEMONTE EXCHANGE POINT CC
149.3.176.81;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
74.125.170.171;15169;GOOGLE - Google LLC
2607:f8b0:4007:1c::b;15169;GOOGLE - Google LLC
173.194.144.8;15169;GOOGLE - Google LLC
2607:f8b0:4002:19::8;15169;GOOGLE - Google LLC
173.194.144.11;15169;GOOGLE - Google LLC
2607:f8b0:4002:19::7;15169;GOOGLE - Google LLC
173.194.12.238;15169;GOOGLE - Google LLC
90.201.127.16;5607;BSKYB-BROADBAND-AS - Sky UK Limited
2a02:c7a:8000:f::10;5607;BSKYB-BROADBAND-AS - Sky UK Limited
173.194.130.14;15169;GOOGLE - Google LLC
2607:f8b0:4006:1b::e;15169;GOOGLE - Google LLC
173.194.61.75;15169;GOOGLE - Google LLC
2607:f8b0:4006:23::e;15169;GOOGLE - Google LLC
209.85.227.206;15169;GOOGLE - Google LLC
208.117.252.235;36040;YOUTUBE - Google LLC
208.117.242.17;43515;YOUTUBE - Google Ireland Limited
2607:f8b0:400a:1::b;15169;GOOGLE - Google LLC
74.125.3.73;15169;GOOGLE - Google LLC
2607:f8b0:400f:4::b;15169;GOOGLE - Google LLC
173.194.54.203;15169;GOOGLE - Google LLC
2607:f8b0:4017:1d::16;15169;GOOGLE - Google LLC
2607:f8b0:401a:10::14;15169;GOOGLE - Google LLC
173.194.7.73;15169;GOOGLE - Google LLC
2607:f8b0:4016:1c::b;15169;GOOGLE - Google LLC
173.194.7.75;15169;GOOGLE - Google LLC
173.194.7.71;15169;GOOGLE - Google LLC
2607:f8b0:4016:1c::9;15169;GOOGLE - Google LLC
173.194.25.46;15169;GOOGLE - Google LLC
2001:4860:4001:e::e;15169;GOOGLE - Google LLC
173.194.133.110;15169;GOOGLE - Google LLC
2607:f8b0:401a:2::b;15169;GOOGLE - Google LLC
74.125.0.59;15169;GOOGLE - Google LLC
74.125.174.46;15169;GOOGLE - Google LLC
173.194.131.14;15169;GOOGLE - Google LLC
2607:f8b0:4006:2e::b;15169;GOOGLE - Google LLC
2607:f8b0:4006:13::e;15169;GOOGLE - Google LLC
173.194.25.50;15169;GOOGLE - Google LLC
2607:f8b0:4005:1::b;15169;GOOGLE - Google LLC
173.194.55.75;15169;GOOGLE - Google LLC
74.125.170.187;15169;GOOGLE - Google LLC
206.248.169.109;5645;TEKSAVVY - TekSavvy Solutions
2607:f2c0:1:53::d;5645;TEKSAVVY - TekSavvy Solutions
2a02:fe0:1:6007::c;41164;GET-NO - Get AS
84.208.42.80;41164;GET-NO - Get AS
2a02:fe0:1:6007::10;41164;GET-NO - Get AS
2607:f8b0:4007:9::e;15169;GOOGLE - Google LLC
173.194.15.78;15169;GOOGLE - Google LLC
148.123.29.82;2119;TELENOR-NEXTEL - Telenor Norge AS
2001:4610:c:1001::12;2119;TELENOR-NEXTEL - Telenor Norge AS
212.56.71.18;6871;PLUSNET - British Telecommunications PLC
2607:f8b0:400b:802::e;15169;GOOGLE - Google LLC
2607:f8b0:4017:2a::b;15169;GOOGLE - Google LLC
71.19.173.78;15290;ALLST-15290 - Allstream Corp.
2607:f8b0:400b:805::e;15169;GOOGLE - Google LLC
103.1.139.144;4773;MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore
2401:7400:8888:14::10;4773;MOBILEONELTD-AS-AP MobileOne Ltd. Mobile/Internet Service Provider Singapore
194.78.0.80;5432;BELGACOM-SKYNET-AS - Proximus NV
2a02:a000:1:203::10;5432;BELGACOM-SKYNET-AS - Proximus NV
173.194.5.107;15169;GOOGLE - Google LLC
2a00:1450:401f:6::b;15169;GOOGLE - Google LLC
2a00:1450:4001:2b::b;15169;GOOGLE - Google LLC
74.125.162.75;15169;GOOGLE - Google LLC
173.194.18.43;15169;GOOGLE - Google LLC
2a00:1450:400a:7::b;15169;GOOGLE - Google LLC
2a00:1450:401c:10::a;15169;GOOGLE - Google LLC
173.194.139.10;15169;GOOGLE - Google LLC
2a00:1450:4001:2a::8;15169;GOOGLE - Google LLC
2a00:1450:400e:8::a;15169;GOOGLE - Google LLC
83.255.235.18;39651;COMHEM-SWEDEN - Com Hem AB
74.125.100.152;15169;GOOGLE - Google LLC
2a00:1450:401c:a::a;15169;GOOGLE - Google LLC
173.194.156.10;15169;GOOGLE - Google LLC
82.94.234.12;3265;XS4ALL-NL - Xs4all Internet BV
2001:888:2000:7d::c;3265;XS4ALL-NL - Xs4all Internet BV
173.194.151.104;15169;GOOGLE - Google LLC
74.125.111.171;15169;GOOGLE - Google LLC
173.194.1.238;15169;GOOGLE - Google LLC
173.194.27.247;15169;GOOGLE - Google LLC
173.194.6.43;15169;GOOGLE - Google LLC
173.194.151.123;15169;GOOGLE - Google LLC
149.3.176.12;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
173.194.142.171;15169;GOOGLE - Google LLC
2607:f8b0:4002:15::b;15169;GOOGLE - Google LLC
208.117.234.78;36040;YOUTUBE - Google LLC
208.117.239.46;43515;YOUTUBE - Google Ireland Limited
208.117.242.206;43515;YOUTUBE - Google Ireland Limited
74.125.5.203;15169;GOOGLE - Google LLC
2607:f8b0:400f:4::7;15169;GOOGLE - Google LLC
173.194.54.199;15169;GOOGLE - Google LLC
208.117.242.43;43515;YOUTUBE - Google Ireland Limited
173.194.25.203;15169;GOOGLE - Google LLC
2001:4860:4001:13::b;15169;GOOGLE - Google LLC
173.194.61.203;15169;GOOGLE - Google LLC
74.125.172.203;15169;GOOGLE - Google LLC
173.194.130.203;15169;GOOGLE - Google LLC
173.194.133.203;15169;GOOGLE - Google LLC
206.111.13.18;2828;XO-AS15 - MCI Communications Services
84.208.42.12;41164;GET-NO - Get AS
2a00:1450:401e:32::a;15169;GOOGLE - Google LLC
2a00:1450:401e:5::b;15169;GOOGLE - Google LLC
220.102.0.18;2518;BIGLOBE BIGLOBE Inc.
2404:6800:400a:6::b;15169;GOOGLE - Google LLC
2607:f8b0:400b:7::b;15169;GOOGLE - Google LLC
2620:11a:a00a::18;36040;YOUTUBE - Google LLC
194.78.0.12;5432;BELGACOM-SKYNET-AS - Proximus NV
2a02:a000:1:202::c;5432;BELGACOM-SKYNET-AS - Proximus NV
74.125.168.205;15169;GOOGLE - Google LLC
2a00:1450:401f:14::d;15169;GOOGLE - Google LLC
64.15.112.12;43515;YOUTUBE - Google Ireland Limited
2a00:1450:401e:37::d;15169;GOOGLE - Google LLC
74.125.160.173;15169;GOOGLE - Google LLC
173.194.16.173;15169;GOOGLE - Google LLC
2a00:1450:4005:3::d;15169;GOOGLE - Google LLC
173.194.16.77;15169;GOOGLE - Google LLC
2a00:1450:400a:4::d;15169;GOOGLE - Google LLC
2a00:1450:401c:16::b;15169;GOOGLE - Google LLC
83.255.235.76;39651;COMHEM-SWEDEN - Com Hem AB
173.194.153.77;15169;GOOGLE - Google LLC
74.125.100.171;15169;GOOGLE - Google LLC
74.125.14.109;15169;GOOGLE - Google LLC
74.125.154.140;15169;GOOGLE - Google LLC
